Pos [°2Th]	Iobs [cts]
485973	765951
486233	731865
486493	-10037
486753	-53750
487013	-426907
487273	221274
487533	641165
487793	-296830
488053	712854
488313	-532739
488573	667422
488833	-153429
489093	21347
489353	76989
489613	468002
489873	1024554
490133	440543
490393	153821
490653	432210
490913	239456
491173	-140369
491433	60799
491693	43925
491953	-14726
492213	-369962
492473	62327
492733	67946
492993	335905
493253	301512
493513	-300289
493773	-46641
494033	209002
494293	442799
494553	401883
494813	452317
495073	523922
495333	-385656
495593	-446057
495853	190267
496113	8540
496373	507154
496633	639053
496893	498040
497153	283255
497413	524688
497673	-92032
497933	-46757
498193	16656
498453	-69903
498713	220038
498973	588722
499233	654234
499493	569098
499753	178710
