nm, Abs ps,Abs nf,abs pvt,abs pvtcef3,
263,3.868069,3.671774,4.236046,4.315227,4.169099
262,3.934953,3.810014,4.111044,4.169036,4.235983
261,3.838186,3.713247,4.111187,4.315307,4.315307
260,3.973031,3.692205,4.060181,4.537303,4.236273
259,3.810304,3.713394,3.935243,4.060181,4.060181
258,3.935398,3.69236,3.935398,4.713549,4.111489
257,3.868287,3.838324,4.111326,4.713386,4.537294
256,3.81035,3.784021,4.060228,4.41241,4.236319
255,3.935343,3.759252,4.169427,5.014525,4.169427
254,3.900754,3.735943,4.169599,5.014697,4.169599
253,4.014558,3.838467,4.16946,4.236407,4.315588
252,4.014567,3.759294,4.111477,4.412507,4.236415
251,3.784055,3.713474,4.014504,4.315534,3.973111
250,3.935188,3.735616,4.111279,4.412309,4.236218
249,4.060207,3.868321,4.169351,4.537328,4.315479
248,3.900527,3.81035,4.11138,4.41241,4.236319
247,4.111498,3.86846,4.236436,4.412528,4.412528
246,4.11162,3.759437,4.169611,4.537588,4.537588
245,3.973405,3.810678,4.236646,4.315828,4.1697
244,4.060731,3.868846,4.169876,4.713944,4.537853
243,3.973648,3.692822,4.015041,4.060799,3.973648
242,4.060983,3.839134,4.170128,4.538104,4.413166
241,4.170299,3.901454,4.316427,5.015397,4.413337
240,4.061264,3.811386,4.112416,4.714476,4.316536
239,4.170639,3.936556,4.413677,4.538616,4.413677
238,4.061683,3.901982,4.316955,4.714895,4.714895
237,4.171003,3.869973,4.317131,4.414041,4.53898
236,4.113162,3.84016,4.317282,4.715222,4.2381
235,3.97498,3.737619,4.062131,4.414313,4.171275
234,4.062277,3.902576,4.171421,4.715489,4.539398
233,4.238627,3.937597,4.238627,4.539657,4.414719
232,3.975603,3.903052,4.318026,4.715966,4.318026
231,3.975854,3.813126,4.172148,4.716216,4.318276
230,3.938424,3.813485,4.172507,5.017605,4.239454
229,4.018114,3.813994,4.115024,5.018114,4.319144
228,3.872614,3.939561,4.319772,4.717712,4.541621
227,3.843345,3.815316,3.978043,4.417376,4.019436
226,3.906372,3.874188,4.175218,4.117226,4.242164
225,4.066959,3.907258,4.066959,4.720172,4.54408
224,4.022197,3.876069,4.119107,4.420137,4.323227
223,4.068878,3.876993,4.244969,4.722091,10
222,3.982543,3.944754,4.245784,10,4.245784
221,4.070108,3.982958,4.070108,4.547229,4.32538
220,4.024687,3.820567,4.422627,4.325717,4.325717
219,3.794213,3.820542,4.121572,4.121572,4.121572
218,3.983216,3.878481,4.179511,4.547488,4.422549
217,3.983306,3.945518,4.179601,5.024699,4.325729
216,4.024715,3.910772,4.325745,4.422655,4.325745
215,3.945559,3.945559,4.246589,5.02474,4.42268
214,4.179905,3.945821,4.121913,4.547881,4.547881
213,4.025306,3.983913,4.247155,10,4.548185
212,4.071276,4.025519,4.247368,4.423459,4.423459
211,3.879608,3.946555,4.025736,4.071493,4.247585
210,3.947025,3.850115,4.424146,5.026206,4.327236
209,4.123505,4.026595,4.072352,4.549473,4.549473
208,3.913059,3.913059,4.248852,4.725973,4.549882
207,3.985704,3.913153,4.549975,4.549975,4.328127
206,4.073409,3.881523,4.2495,4.726621,4.328681
205,3.949423,3.91466,4.250453,5.028604,4.250453
204,4.126192,3.853191,4.251131,4.330312,4.184184
203,3.950519,3.750947,4.075458,4.12661,4.075458
202,3.951718,3.80045,4.729869,4.428839,4.076657
201,4.129247,3.953155,10,4.254185,4.555215
200,3.828692,3.886684,4.254661,4.430752,4.254661
