ps excitado a 230 los demas a 259								
								
								
								
8								
4096								
PS 5%naf DeltaDiode:329.9964(2)	PS 5%naf DeltaDiode:329.9964(2)	Pulso DeltaDiode:259.9963	PS DeltaDiode:329.9964(2)	5 Cef3 DeltaDiode:329.9964(2)	10 CeF3 DeltaDiode:329.9964(2)	10 NF DeltaDiode:329.9964(2)	15 NF DeltaDiode:329.9964(2)	20 NF DeltaDiode:329.9964(2)
X	Y	Y	Y	Y	Y	Y	Y	Y
45.0908165	5738	2	1073	894	915	5997	5330	5453
45.2976532	5677	1	1021	921	852	6007	5299	5476
45.5044937	5713	0	1004	901	820	5893	5396	5272
45.7113342	5598	0	1008	883	828	5908	5307	5261
45.91817	5747	0	970	869	821	5872	5368	5355
46.1250076	5621	0	968	799	805	5853	5311	5360
46.33185	5547	0	1020	792	821	5830	5270	5273
46.53869	5599	0	1018	891	774	5814	5107	5175
46.7455254	5574	0	997	830	830	5742	5207	5229
46.9523621	5528	1	997	814	850	5900	5258	5261
47.1592026	5503	2	967	867	775	5832	5260	5205
47.3660431	5476	0	878	808	793	5703	5124	5304
47.57288	5521	0	936	804	787	5818	5258	5212
47.7797165	5497	1	925	797	769	5698	5243	5320
47.986557	5350	0	897	731	709	5760	5145	5188
48.1933975	5500	0	898	806	752	5711	5106	5097
48.4002342	5544	0	888	744	768	5732	5121	5231
48.60707	5395	0	902	774	721	5537	5125	5124
48.81391	5415	0	875	741	766	5685	5113	5051
49.020752	5391	2	878	755	740	5800	4953	5057
49.22759	5340	0	783	737	695	5733	5046	5088
49.4344254	5334	0	865	704	701	5785	4998	5039
49.6412659	5351	0	821	737	747	5616	5047	5114
49.8481064	5309	0	836	650	689	5746	4973	4891
50.0549431	5330	2	817	653	714	5660	4893	5053
50.26178	5376	1	801	692	694	5761	5052	4999
50.46862	5405	0	810	684	712	5590	4986	4901
50.67546	5303	0	843	688	662	5605	4965	5043
50.8822975	5197	1	761	695	646	5680	4959	5112
51.0891342	5451	0	773	603	668	5426	4932	5007
51.2959747	5262	0	821	606	658	5512	4832	5007
51.5028152	5269	1	813	672	656	5545	4933	5013
51.7096519	5267	1	719	624	664	5559	4919	4688
51.91649	5272	1	770	717	677	5500	5058	4877
52.12333	5210	0	774	619	648	5527	4901	4897
52.33017	5313	2	746	642	589	5393	4739	4856
52.5370064	5271	0	700	650	614	5307	4831	4859
52.7438431	5220	2	719	669	608	5402	4799	4841
52.9506836	4963	0	704	570	591	5356	4872	4742
53.1575241	5039	0	670	622	533	5337	4796	4714
53.36436	5130	1	745	568	584	5459	4704	4846
53.5711975	5193	1	713	578	540	5389	4638	4808
53.778038	5042	1	696	584	570	5260	4729	4690
53.98488	5074	0	726	589	550	5316	4772	4686
54.1917152	5021	0	659	572	543	5337	4499	4593
54.3985519	5209	1	681	585	568	5392	4787	4753
54.6053925	5130	1	689	561	563	5254	4853	4727
54.812233	4925	1	634	585	505	5237	4682	4663
55.01907	4956	2	664	534	556	5187	4667	4682
55.2259064	5075	0	657	540	568	5181	4623	4728
55.4327469	5022	1	685	538	519	5193	4717	4681
55.6395874	5067	0	602	604	539	5181	4705	4712
55.8464241	5077	0	577	541	513	5341	4607	4585
56.05326	4966	1	596	517	504	5314	4583	4630
56.2601	5050	1	629	564	517	5200	4609	4683
56.46694	4918	0	600	513	481	5123	4570	4504
56.67378	4996	0	620	540	518	5118	4662	4586
56.8806152	4979	0	549	492	518	5310	4664	4504
57.0874557	5016	0	591	516	515	5122	4484	4502
57.2942963	5000	1	563	501	500	5249	4545	4657
57.501133	4805	0	553	475	464	5237	4439	4447
57.70797	4870	1	583	497	438	5188	4418	4564
57.91481	4873	0	551	502	473	5053	4503	4396
58.12165	4844	0	557	502	482	5035	4536	4423
58.3284874	4843	0	570	510	449	5041	4584	4357
58.5353241	4974	1	571	477	500	5096	4563	4425
58.7421646	4798	0	535	474	425	5034	4405	4492
58.9490051	4822	1	561	490	487	4972	4406	4432
59.15584	4790	0	503	479	469	4999	4524	4457
59.36268	4744	0	495	449	494	4987	4579	4386
59.56952	4941	1	515	491	451	4908	4425	4387
59.77636	4799	1	481	420	419	4794	4264	4425
59.9831963	4720	1	558	451	394	5013	4406	4328
60.190033	4775	0	519	457	405	4929	4330	4431
60.3968735	4763	0	508	446	432	5022	4354	4249
60.603714	4757	0	501	446	410	4929	4320	4289
60.81055	4667	1	506	444	413	4832	4409	4400
61.0173874	4692	0	526	445	446	4910	4458	4314
61.2242279	4741	1	469	431	388	4884	4372	4363
61.43107	4718	1	462	417	439	4973	4220	4277
61.6379051	4585	1	432	415	391	4934	4260	4206
61.84474	4613	0	471	456	407	4894	4340	4382
62.0515823	4763	1	449	413	394	4876	4371	4292
62.2584229	4636	0	491	381	418	4781	4232	4339
62.46526	4642	1	452	395	386	4868	4258	4237
62.6720963	4626	0	480	394	375	5059	4299	4286
62.8789368	4564	0	420	370	396	4883	4226	4272
63.0857773	4639	0	473	407	395	4802	4338	4303
63.292614	4582	2	452	414	382	4831	4130	4268
63.49945	4596	0	427	386	398	4829	4193	4032
63.70629	4681	2	403	358	401	4766	4173	4118
